"name"	"abstract"
"曹鑠"	"曹 鑠（そう しゃく、生没年不詳）は、後漢末期の人。字は不明。曹操の第二子（次男）。生母は早世した劉夫人。曹昂は同母兄で、末妹に清河長公主（夏侯楙夫人）がいる。また、曹丕、曹彰、曹植、曹熊、曹彪、曹沖、曹宇、曹林、曹袞、曹據らは異母弟に当たる。母が若死したために兄と妹と共に嫡母の丁夫人に養育されたと思われる。だが、彼は病弱のため正史には殆ど登場しない。結局20歳前後で若死したという。なお、彼の没年が長兄の曹昂の戦死より前なのか後なのかは一切は全く不明である。ただ、197年に継母の卞氏（曹丕らの生母）が父・曹操の正室に昇格したところを見ると、それ以前に亡くなったと思われる。229年に甥の明帝・曹叡から相王に追封され、｢殤｣の諡が贈られ、相殤王と呼ばれる。翌230年に曹鑠の子の曹潜（相愍王）が相王となるが、233年に亡くなり、その子の曹偃が跡を継ぐが236年に没した。だが曹偃には嗣子が無く、曹鑠の家系はついに断絶して、相（おそらく沛付近の地方）は魏の直轄地に編入された。"
"李密 (蜀)"	"李 密（り みつ、224年 - 287年）は、中国三国時代・西晋に仕えた政治家である。字を令伯。"
"楊洪"	"楊 洪（よう こう、? - 228年）は、中国後漢末期から三国時代の武将。字は季休（ききゅう）。犍為郡武陽県の人。"
"申耽"	"申 耽（しん たん、生没年不詳）は、中国後漢末期から三国時代の軍人。申儀の兄。字は義挙。漢中の豪族の一人で、民政にはなかなか有能な人物だったことから、張魯や曹操に認められてその家臣となっていた。219年、劉備が漢中に侵攻し曹操が撤退すると、周辺地域に劉備の勢力が及ぶようになり、上庸もその標的となったため、申耽は劉封と孟達の軍勢に降った。このとき、征北将軍に任じられている。220年、孟達が寝返った際には弟の申儀と異なり劉封に味方したが、劉封が上庸から敗走すると、再び曹操に降伏した。その後、上庸の地からは遠ざけられ、懐集将軍に任じられて南陽の守備を任された。孟達反乱の際の動向は伝わっていない。弟の申儀は西城太守であったが、西城・房陵・上庸が新城郡に統合されると魏興太守に転じ、辺境の地であることをいいことに、詔書を偽造するなど勝手な振る舞いをしていた。孟達反乱の際は孟達の叛意を密告し、司馬懿の孟達征伐の際には蜀からの進入路を防ぎ、孟達を滅ぼすことに貢献したものの、まもなく自身の傍若無人な振る舞いをも咎められ、詔書偽造の罪で中央に召喚された。小説『三国志演義』では、孟達が劉封を攻撃した際、弟の申儀と共に劉封から離反し、追放するのに加担している。さらに蜀の北伐時には、蜀側が優勢と見て魏を裏切ろうとした孟達を反対に裏切って、司馬懿と共に攻め殺したことになっている。"
"留略"	"留 略（りゅう りゃく、生没年不詳）は、三国時代の呉の武将。留賛の子。留平の兄。『三国志』では魏志の「三少帝紀」に引用された『漢晋春秋』、呉志の「三嗣主伝」、「諸葛恪伝」に記録がある。"
"程秉"	"程 秉（てい へい、生没年不詳）は、中国後漢末期から三国時代の人物。呉の学者・政治家。字は徳枢。豫州汝南郡南頓県（河南省項城市）の人。鄭玄に師事して学問を学び、乱を逃れて交州の士燮の下に身を寄せた。交趾には劉煕がいたため、ここで学識を深め五経に通じるようになった。また士燮から長史に任ぜられた。やがて、学者としての評判を聞いた呉の孫権から招聘されてその幕僚となり、太子孫登の教育係（太子太傅）を任された。225年、孫登の婚礼のときには太常となり、孫登の妃を迎える役を務めた。孫権・孫登からも丁重に遇された。『論語弼』などの著作を3万字残した。陳寿は「厳畯・闞沢と並んで一代の学者であった」と評している。なお『三国志』に伝のある人物の中で、自分の伝以外に記述のない唯一の人物だという（坂口和澄『正史三国志群雄銘銘伝』）。小説『三国志演義』では、孫権が呉の国主となって集めた賢人の一人として登場する。赤壁の戦いの時は曹操への降伏を主張し、諸葛亮と論戦するがあっけなく敗れる。その後、劉備が関羽の仇討ちのため呉に攻め込んできた時は、孫権の使いとして派遣され、張飛を暗殺した張達らの身柄を劉備に差し出すが、劉備の怒りを収めることができず申し入れを一蹴され、命からがら呉に逃げ帰っている。"
"許儀"	"許 儀（きょ ぎ　Xu Yi、？－263年）は、中国三国時代の魏の武将。許褚の子。許綜の父。父の死後、牟郷侯を相続した。263年、司馬昭の命により蜀漢侵攻が始まると、許儀は鍾会の軍に従って参戦した。このとき、鍾会の命により橋の架橋を命じられたが、鍾会が橋を渡ろうとしたとき、乗っている馬が脚を獲られたため鍾会は落馬した。鍾会はこれを橋の不備によるものだと怒り、許儀を殺害してしまった。このとき、周囲の面々が鍾会に対し、許儀は許褚の子であるから命だけは助けるべきと嘆願したが、鍾会は受け入れなかったと言う。"
"許慈"	"許 慈（きょ じ、生没年不詳）は、中国後漢末期から三国時代の人物。荊州南陽郡の出身。字は仁篤。蜀漢に仕えた。子は許訓。「蜀書」杜周杜許孟来尹李譙郤伝 - 許慈伝には、「劉煕に師事し、鄭玄の学問をよくした。『易』・『尚書』・『三礼』（『礼記』・『周礼』・『儀礼』）・『毛詞』・『論語』を学んだ」とある。建安年間、許靖らとともに交州から益州に入った。劉備の益州平定後、胡潜とともに学士に任命され、孟光・来敏らとともに漢代以前の慣例制度を扱った。劉禅の時代には大長秋に昇進したといわれる。"
"鄒靖"	"鄒 靖（すう せい、生没年不詳）は、中国後漢末期の武将。校尉、後の北軍中候。"
"閻温"	"閻 温（えん おん、? - 213年）は、中国後漢末期の政治家。涼州天水郡西城の人。字は伯倹。『三国志』魏志に伝がある。涼州の別駕に任命され、上邽県令の職務の代行に当たっていた。211年、潼関の戦いで曹操に敗れた馬超が上邽に逃れてくると、郡民の任養らはこぞって馬超を迎えたので、閻温はそれを食い止めることを出来ず、州へ帰還した。213年、勢力を巻き返した馬超によって州庁のある冀城が包囲された。このとき、州郡の諸県のほとんどが馬超に呼応しており、冀城のみが刺史の韋康らに残された拠点だったという（「楊阜伝」）。曹操は馬超を破った後、夏侯淵を長安に駐屯させて梁興など馬超残党の掃討に当たらせていた（「武帝紀」・「諸夏侯曹伝」）。閻温は夏侯淵に危機を伝えるための使者として城を脱出した。閻温は包囲軍の目を逃れるため、夜間に水中をくぐって城外に出たが、翌日には跡を発見されてしまい、追跡され顕親の地で捕らえられてしまった。馬超は閻温の縄を解いて、城に残る者たちの士気を削ぐため、援軍が来ないと伝えるよう脅した。閻温は承諾する振りをしたが、城に戻ると、逆に3日以内に援軍が来ると城中の者を励ましたため、籠城軍は奮い立った。馬超は立腹し、命が要らないのかと閻温を責めたが、閻温は返事をしなかった。馬超は閻温が心変わりをすることを期待し、しばらく待った後、城内の者で自分に同調しそうな人物はいないかどうか閻温に尋ねた。閻温はまたも返事をしなかった。このため馬超が閻温を厳しく責め立てたところ、閻温は節義を守った上で命を惜しまないことを堂々と述べ、馬超を罵った。閻温は馬超により殺害された。"
"韓猛"	"韓 猛（かん もう、生没年不詳）は、中国後漢時代末期の武将。字は不明。『三国志』の注釈者裴松之によると、様々な名が伝わっており、他に韓荀（荀の字の下に大が付く場合もある）・韓若という別称があるが、韓猛も含めてどれが正しい名かは分からないという。本記事では便宜的に、『三国志演義』でも採用されており、一般に最も知られていると思われる「韓猛」を採る。"
"劉和 (後漢)"	"劉 和（りゅう わ、生没年不詳）は、後漢末の宗室（広義の皇族）。姓は劉氏。"
"呉匡"	"呉 匡（ご きょう、生没年不詳）は、中国後漢末期の武人。子は呉班。従子は呉懿・呉氏。兗州陳留郡の人。何進の忠実な武将として活躍した。189年、何進が宦官誅殺を計画して逆に殺害された時、同僚の袁紹らに唆されて、何苗が宦官と内通して継兄（義理の兄）を殺害したと疑いを懐き、兵を率いて朱雀門で惨殺した。その後の呉匡の行方は定かではないが、子と従子達が旧縁のあった劉焉を頼って入蜀している。なお、従子の呉氏は劉焉の子劉瑁に嫁いでいる（穆皇后）。"
"曹據"	"曹 據（そう きょ、生没年不詳）は、中国三国時代の魏の皇族。名は曹拠とも書かれる。父は曹操。生母は環夫人。同母兄弟は曹沖・曹宇。異母兄弟は曹丕（文帝）・曹整。子は曹琮・曹範・曹闡ら。"
"曹纂"	"曹 纂（そう さん、生没年不詳）は、魏の皇族。字は徳思。父は曹休。同母兄は曹肇。孫は曹識。曾孫は曹毗（曹識の子）ら。甥は曹興。従孫は曹攄（曹興の子）。228年に父が病没すると、曹叡（明帝）から亡父の領地内に300戸を与えられた。やがて列侯に封じられた。数年後に殄呉将軍に任ぜられた。亡くなると、前将軍を追贈されたという。"
"李簡"	"李 簡（り かん、生没年不詳）は、中国の三国時代、魏の隴西郡狄道県の県長、後に蜀漢の将。"
"杜畿"	"杜 畿（と き、生没年不詳）は、中国後漢末期から三国時代にかけての政治家。字は伯侯。京兆郡杜陵県（陝西省西安市）の人。子は杜恕・杜理・杜寛。孫は杜預。傅玄の『傅子』によると、前漢の杜延年の子孫だという。魏に仕え、郡太守として功績を挙げた。"
"楊阜"	"楊 阜（よう ふ、生没年不詳）は、中国後漢末期から三国時代の武将、政治家。魏に仕えた。字は義山。雍州天水郡（現在の陝西省天水市）冀県の人。楊豹の祖父。楊謨・楊岳は従弟。姜叙は外兄。『三国志』魏志に伝がある。若い頃、同郡の尹奉や趙昂とともに名を馳せたという（『魏略』）。曹操と袁紹が争っていた頃、州牧韋端の命により従事の資格で許都に赴き、安定（都市名）の長史に任命された。帰還した後、曹操の勝利を確信し、その事を地元の諸将に伝えている。長史の任務が合わず辞職したが、韋端が太僕に任命され、その子の韋康が涼州刺史となると、別駕として召し出された。孝廉となり、丞相府より召された事もあったが、涼州側は上奏して留め置き、参軍とした。馬超は、渭南の戦い（潼関の戦い）で曹操に敗れた後には西方に逃れ、その名声により羌族をはじめとした諸蛮族を掌中にし、再起を図っていた。この時、楊阜は曹操に対して「韓信・黥布」の例に擬えて、馬超の攻撃に対応する防備を厳重にするよう進言した。だが、同時期に河間で蘇伯達の反乱があったため、曹操の兵は引き上げられてしまった。その後、馬超は隴上への侵攻を開始し、冀城を除く諸県が馬超に呼応した。冀城には韋康や諸郡の太守達が拠ったが、間もなく馬超は1万の兵を率いて冀城を攻撃した。漢中の張魯も馬超に援軍として楊昂を派遣していた。楊阜は城内の士大夫の子弟の内から、戦争ができる者を1000人ほど集めて即席の軍隊とし、従弟の楊岳に城壁の上に偃月の陣を敷き馬超に抵抗させた。8ヶ月程抵抗したが援軍はやって来なかった。韋康は閻温を援軍の使者として城外に出したが、馬超に見つかり殺害されてしまった。色を失った韋康達は降参を考えるようになった。楊阜は涙を流してこれを諌めたが聞き入れられず、韋康達は城門を開いて馬超と和議を結ぼうとしたが、馬超は楊岳を冀城で軟禁する一方で、楊昂に命じて韋康達を殺害させた。このため、楊阜は馬超への復讐の機会を窺っていた。丁度、妻の葬儀を理由として一時的に帰郷した。まず、歴城にいる姜叙と連絡をとり、姜叙とその母の前で無念の気持ちを述べたところ、姜叙の母は強く同情し、姜叙に楊阜の馬超打倒計画に参画するよう熱心に奨めた。趙昂や尹奉といった郷人達や、武都の人達と連絡をとり、冀城の楊岳の元にも楊謨を送り計画を打ち明けた。安定の梁寛や南安の趙衢といった有力者も同心とした。212年9月、楊阜は鹵城において姜叙と共に馬超打倒の兵を挙げた。馬超は直ちに楊阜を攻撃しようとしたが、かねての計画通り梁寛や趙衢達が冀城を襲撃し、楊岳の身柄を奪い返した上で、冀城を占拠した。この反乱で、歴城にいた姜叙の母や馬超の人質となっていた趙月（趙昂と王異の子）が馬超に殺害され（皇甫謐『列女伝』）、さらに楊阜の一族7人が馬超によって殺され、楊阜自身も重傷を負った。214年春正月までには夏侯淵の援軍を得て、馬超を撃退し漢中に放逐し、馬超が冀城に留守として置いていた妻子一族を、全て処刑したという（「武帝紀」）。隴右平定の功績により、曹操は11人の者を列侯した。曹操は楊阜を関内侯に封じようとしたが、楊阜は韋康達を守れず、馬超も殺害できなかった事を理由に辞退した。しかし、曹操が何度も位を与えようとしたため、遂に応じた。215年の漢中討伐時に益州刺史（遥任）となり、帰還後は金城太守とされたが、その直後に武都太守に任命された。楊阜は、劉備が統治する益州との国境に近い地域である事も考慮して、法の厳格な適用に拘らない統治を心がけるよう要請した。218年、劉備の部下張飛と馬超が下弁に攻め込み、氐族達もそれに呼応し反乱を起こした。曹操は曹洪を送り馬超達を退却させた。曹洪は勝利を祝う宴会を開き、薄衣を身に付けた女性達に舞楽を行わせた。同席していた諸将は笑い転げたが、楊阜だけが曹洪の不行跡を責めて退席した。曹洪は舞楽をやめさせ、楊阜に戻るよう願い、その場は厳粛となったという。劉備が漢中を取り下弁に再び迫ると、曹操は武都の地が遠方に孤立しているため、住民を京兆・扶風・天水へ移住させようとした。一万戸がこれに応じたが、これは楊阜のそれまでの統治が信頼を勝ち得ていたからであった。やがて、武都に赴任すること十数年、漠然ながら下々の民に悪事を起こさせないように行政を実施した。曹丕（文帝）は劉曄などから武都太守の評判がいいことを聞いてこれを召しだそうとしたが、果たせぬまま急死した。曹叡（明帝）の代になると中央に召され城門校尉となり、将作大匠・少府に昇進した。その間、明帝に対して服装や素行、大規模な宮殿造営などの放漫な政治に対して諫言や上奏を何度も行った。曹真が蜀漢を征伐しようとしたが、雨で進軍できなくなった時には撤兵を進言し、明帝もそれに従った。楊阜の諫言は、明帝にいつも聞き入れられた訳ではなかったが、楊阜の忠義の心には明帝もそれなりに心を動かされるものがあったという。ある時、諫言が何度も聞き入れられなかったため、官を辞退したところ、聴許が得られない内にたまたま死去したという。孫の楊豹が後を継いだ。家には財産を遺さなかったという。"
"石徳林"	"石 徳林（せきとくりん、生没年不詳）は、中国三国時代の人物で三国志に登場する隠者。徳林は字であり、本名は不詳。またの名を寒貧（かんぴん）。雍州安定郡の出身。若い頃、長安で学者について学んだ。特に「方術」に興味を示し、その頃から「隠遁」の気が芽生えた。馬超・韓遂らが叛乱を起こした際に難を避けて一時漢中に移り、また曹操の漢中制圧後に長安へ帰還した。長安帰還後、彼は意図的に人との面会を避け、官の招きにも応ぜず「阿呆」を装うようになり、乞食のような生活を生涯貫いた。"
"陸瑁"	"陸 瑁（りく ぼう、? - 239年）は、三国時代呉の政治家。字は子璋。陸遜の実弟。"
"丘力居"	"丘力居（きゅうりききょ、生没年不詳）は、中国後漢末期の人物。烏桓族の大人（単于）。子に楼班。『後漢書』烏丸伝に記されている。"
"公孫晃"	"公孫 晃（こうそん こう　生年不詳 - 238年）は、中国三国時代の武将。字は不詳。父は公孫康。弟は公孫淵。叔父は公孫恭。家柄は公孫氏。子の名は不詳。"
"劉元起"	"劉 元起 （りゅう げんき、生没年不詳）は、中国後漢末の人物。家系は劉氏。中山靖王劉勝の子である陸城亭侯劉貞の子孫という。幽州涿郡涿県の出身。蜀漢の初代皇帝劉備の族父もしくは従父で、劉徳然の父。「元起」はおそらく字で名は不明。『三国志』「蜀書先主伝」および小説『三国志演義』に登場し、少年時代（175年ごろ）の劉備に、同郷の儒学者であった盧植のもとで学ばせるために、劉元起は子の劉徳然と同額の学費を劉備に送っていた。劉元起の妻はその事に対し不満を述べたが、劉備の資質を買っていた劉元起は取り合わなかった。その後の動向は不明。"
"周旨"	"周 旨（しゅう し、生没年不詳）は、中国西晋の武将。『晋書』杜預伝によると、279年に杜預に従い呉侵攻に参加した。牙門将軍の管定・伍巣らと共に800人の兵を率い、舟で夜半に長江を渡って楽郷を襲撃した。多くの旗幟を立て、巴山に火を起こし、呉の孫歆に大軍と錯覚させ恐れさせた。伍巣と共に楽郷城外へ伏兵を布き、孫歆を捕らえる功績を挙げた。小説『三国志演義』第120回によると、周旨は杜預の副将であり、800人の兵を率いて渡江すると、巴山に伏兵として潜む。杜預が呉軍を破った後、敗走・混乱していた呉軍に紛れ込み城内への侵入を果たし、孫歆を斬っている。さらに呉の張悌と戦い、沈瑩を討ち取るという武功を挙げている。"
"孫盛 (三国志)"	"孫 盛（そん せい、生没年不詳）は、中国三国時代の呉の将。222年、魏の曹真・夏侯尚・張郃らが呉の朱然が防衛する江陵に攻め入った。孫盛は一万の兵を率いて援軍に赴き、長江の中州に砦を築き、朱然を助けた。だが、艦隊を率いて中州の砦を攻めた張郃に敗れ、退却し、中州の砦を奪われた。『三国志』魏書文帝紀の注に引く『魏書』によると、この戦いで多くの呉の兵が溺死した。孫盛が敗走し砦を奪われたので、朱然は外部との連絡を絶たれてしまった。『三国志』には、孫盛について、これだけしか記されていない。"
"蒋斌"	"蒋 斌（しょう ひん、? - 264年）は、三国時代の軍人。蜀（蜀漢）に仕えた。蒋琬の子。蒋顕の兄。綏武将軍・漢城護軍となり、漢城の防備に当たった。263年の魏の侵攻では五千の兵を擁して漢城を守ったが、魏の将軍鍾会は荀愷率いる一万の兵を抑えに残して先に進んだ。この時鍾会から亡父蒋琬の墓の所在を尋ねられ、丁寧な返書をしたためたことで鍾会に感心された。成都が鄧艾に攻略され劉禅が降伏すると、蒋斌も鍾会に降伏した。鍾会には友人として遇されたが、鍾会の反乱の際に統制を失った魏兵に殺された。　"
"蒋顕"	"蒋 顕（しょう けん、? - 264年）は、三国時代の官僚。蜀（蜀漢）に仕えた。蒋琬の子で蒋斌の弟。263年には太子僕（蜀書蒋琬伝による。後主伝注では太僕）の官にあった。263年の魏の侵攻（蜀漢の滅亡）で降伏を決めた劉禅は剣閣から退却中の姜維にも降伏を命じるが、その使者を蒋顕が務めた。鍾会の反乱の際に、兄と共に魏兵に殺された。"
"徐幹"	"徐 幹（じょ かん、171年 - 218年）は、中国後漢末期の政治家・文人。字は偉長。青州北海郡劇県の出身。建安七子の一人。旧家の生まれであったが家は貧しかった。しかし品行は優れ、文章も美麗典雅であった。建安年間、曹操に仕えて司空軍謀祭酒掾属・五官将文学へ昇進した。詩賦に長じ、曹丕からは「誠に頻々たる君子といえよう。その著書『中論』二十篇は、よく一家の言をなしたものであり、彼こそは不朽の人物である」とその才能を愛され、絶賛された。建安23年（218年）、華北で流行した疫病に倒れ死去した。享年48。"
"戴員"	"戴 員（たい いん、? - 204年?）は、中国後漢末期の人物。"
"満偉"	"満 偉（まん い、? - ?）は、中国三国時代の魏の政治家。字は公衡。父は満寵。子は満長武。242年、父が亡くなると昌邑侯の爵位を継いだ。後に衛尉へ昇進したが、子が司馬昭に殺された時、連座して官位を剥奪され庶民に落とされた。"
"満奮"	"満 奮（まん ふん、生没年不詳）は、中国三国時代から西晋にかけての人物。字は武秋。魏・西晋に仕えた。祖父は満寵。伯父は満偉。公平清廉な人格者であったため西晋の武帝に仕え、冀州刺史・尚書令・司隷校尉を歴任した。満奮は風を極端に恐れたといわれ、『世説新語』には武帝からそのことをからかわれた話が載っている。"
"満長武"	"満 長武（まん ちょうぶ、生没年不詳）は、中国三国時代の魏の人物。祖父は満寵。父は満偉。身長8尺の大男だったとされ、24歳の時に魏の実権を握っていた司馬昭に仕えた。しかし司馬昭の恨みを買って撲殺された。司馬昭からの恨みに関しては、257年の諸葛誕反乱時に父の看病を理由とし司馬昭に非協力的だった事と、260年の皇帝曹髦の反乱時に援軍として駆けつけた司馬幹に対し、自らが警護する宮門を通さなかったため、とする説などがある。"
"焦和"	"焦 和（しょう わ、生没年不詳）は、中国後漢末期の政治家。『三国志』魏書臧洪伝に記述がある。後漢の青州刺史。袁紹を中心とする反董卓連合に加わった諸侯の一人であるが、曹操が董卓軍の徐栄に敗れたことを知ると青州へ逃げ帰った。政治的に無能であったため青州の混乱を招き、それに対し何も現実的な対策を講ぜぬまま、初平年間に没した。この無策さが後年の青州に大きな影響を及ぼすことになる。彼の死後、後継の刺史として袁紹が臧洪を送り込み、州内の治安を回復させたものの、公孫瓚が田楷を送り込んだため、北海太守であった孔融も袁紹に敵対的な姿勢をとるようになり、青州は戦乱や黄巾賊の残党で再び荒廃することになった。曹操の支配地となった後も、海賊の管承の反乱が勃発している。"
"紀陟"	"紀 陟（き ちょく、生没年不詳）は、中国三国時代の呉の政治家。字は子上。揚州丹陽郡の人。父は紀亮。子は紀孚・紀瞻。三国志呉書「三嗣主伝」が引く『呉録』などに記述がある。孫休の時代に中書郎の職にあり、謀反の罪に問われた孫皓の父孫和の取調べに当たった。この時、孫和に対し秘かに指示し堂々と弁明させたため、当時権力をもっていた孫峻に疎まれたという。父が尚書令であったとき中書令にまで出世したため、朝会において二人の間に屏風が置かれたという逸話がある。後に豫章太守となった。265年、当時の呉は孫皓へ代替わりしたばかりの時期で、交州を魏に奪われるなど弱体化していたため、魏の禅譲により建国された晋に和睦の使者を派遣しようと考えていた。この時、紀陟は光禄大夫として五官中郎将の弘璆と共に、使者となり赴いた。干宝の『晋紀』によると、紀陟と弘璆の態度は堂々としたものであったという。『呉録』によると、孫皓は孫和とつながりがあった者を全て東冶に強制移住させたが、紀陟だけは重用し、子の紀孚を都亭侯に採り立てている。"
"趙氏"	"趙 氏（ちょう し、? -? ）は、中国三国時代の人とされる。正史『三国志』に記述はなく、小説『三国志演義』にも一切登場しない。以下、清代の『江陵県志』による。父は趙雲。兄は趙統・趙広。関平の妻。子は関樾（カンエツ、『樾』は木偏に越）。義父は関羽。趙氏は関平に嫁いだという。 また、子は江陵に住んでいたとある。（趙氏，關平之妻，清《江陵縣志》載關平娶鎭東将軍趙雲女趙氏，生子關樾，世居江陵）。子が八歳のとき、趙氏は子とともに炎上する荊州（『樊城の戦い』（建安24年（219年））から益州へ逃れ、関羽の血筋を守ったという。"
"趙直"	"趙 直（ちょう ちょく、? - ?）は、中国三国時代の蜀漢の人物。夢占いを得意とした。『三国志』に伝はないが、三国時代の蜀漢の重要人物との関わりが残されている。何祗の場合何祗がまだ、世間から評価を受けていなかった頃に見た「井戸の中に桑が生えている夢」について、桑は井戸の中には本来ないものであるから植え替えなければならないこと、また、桑の字は「四十」の下に「八」を書くものであることから、何祗が出世するということと、48歳で没することを予言した。何祗はその後、楊洪の引き立てで蜀漢に仕えて郡太守にまで出世し、48歳で死去した。蒋琬の場合蒋琬が県長だった頃に見た夢である「一つの牛の頭が門前に転がり、血をたらたらと流す夢」について、血は「宰相」を示し、牛の角と鼻は「公」の象徴であると読み解き、宰相となり公にまで昇進すると予言した。魏延の場合234年、諸葛亮最後の北伐（五丈原の戦い）で、魏延が従軍した時に見た「頭に角が生える夢」について、魏延の質問に対し、麒麟は角を持っているが用いることはないということを理由に、敵が敗れる象徴と説明した。しかし魏延が退席した後、側にいた者に「角の字体には刀があり、頭の上に刀を用いるのだから、大変不吉な意味だ」と述べた。小説『三国志演義』でも登場し、そこでは魏延との逸話が採用され、魏延の最期を暗示する演出となっている。"
"韋晃"	"韋 晃（い こう、? - 218年）は、中国後漢末期の政治家。後漢の丞相司直。218年正月、吉本や金禕と少府の耿紀らと共に曹操に対して反乱を起こした。許にいた王必の陣営を攻めて王必を負傷させたが、落ち延びた王必と厳匡により鎮圧された。韋晃は仲間と共に捕らえられ、曹操に処刑された。一説には頭を地面に打ち付けて自害したともいわれる。"
"郭馬"	"郭 馬（かく ば、生没年不詳）は、中国三国時代の呉の武将。"
"張横 (後漢)"	"張 横（ちょう おう、生没年不明）は、中国後漢末期の人物。関中に割拠した軍閥の一人。『三国志』では蜀書馬超伝注の『典略』に、関中十部の一角として名前が見えるのみで詳細は不明である。それによると、建安16年（211年）に馬超・韓遂らと連合して曹操軍と戦ったが撃ち破られた、とだけある。小説『三国志演義』では、韓遂の「手下八部」の一人として登場する。馬超・韓遂らの連合軍に加わり、長安を攻略する。しかし渭南での敗戦の際に、程銀と共に戦死してしまう。"
"敬哀皇后張氏"	"敬哀皇后（けいあいこうごう、? - 237年）は、三国時代の蜀の後主劉禅の皇后。姓は張。父は張飛、母は夏侯覇の従妹。諱は伝わっておらず、諡で敬哀皇后と呼ばれる。死後に妹が劉禅の皇后に立てられている（単に張皇后と呼ばれる）。"
"文徳皇后郭氏"	"郭皇后（かく こうごう、光和7年3月10日（184年4月8日） - 青龍3年3月8日（235年3月14日））は、魏の初代皇帝曹丕（文帝）の皇后。諡は徳で、諡号としては文徳皇后。字は女王、本名は不明。冀州安平郡広宗県（河北省広宗県）の出身。父は郭永（後漢の南郡太守）。母は董夫人。"
"文昭皇后甄氏"	"甄氏（しんし、182年 - 221年）は、魏の初代皇帝曹丕（文帝）の妻。諡号は文昭皇后。冀州中山郡毋極県（河北省無極県）の出身。父は甄逸（上蔡（河南省南部）県令）。兄は甄豫・甄厳・甄堯。姉は甄姜・甄脱・甄道・甄栄。"
"穆皇后呉氏"	"穆皇后（ぼくこうごう、? - 245年）は、三国時代の蜀の先主劉備の皇后。穆は諡で、姓は呉氏（ごし）、諱は不明。兗州陳留郡の人。族父は呉匡。兄は呉懿。従孫は呉喬（呉懿の孫）。"
